Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GCN,0.005213916301727295,0.010354697704315186,0.609
False,16,50,2,0.001,FairMP_GCN,0.0,0.0,0.789
False,16,50,2,0.01,GCN,0.0011850595474243164,0.0016577839851379395,0.7888333333333334
False,16,50,2,0.01,FairMP_GCN,0.0018333792686462402,0.0004112124443054199,0.789
False,16,50,2,0.1,GCN,0.0,0.0,0.789
False,16,50,2,0.1,FairMP_GCN,0.08704245090484619,0.08746337890625,0.7885
False,16,50,4,0.001,GCN,0.06407308578491211,0.08103418350219727,0.6583333333333333
False,16,50,4,0.001,FairMP_GCN,0.0026105535216629505,0.0025758936535567045,0.21416666666666667
False,16,50,4,0.01,GCN,0.0435938835144043,0.0523795485496521,0.5636666666666666
False,16,50,4,0.01,FairMP_GCN,0.00041544437408447266,0.0003713369369506836,0.789
False,16,50,4,0.1,GCN,0.0,0.0,0.789
False,16,50,4,0.1,FairMP_GCN,0.003737151622772217,0.0023706555366516113,0.7895
False,16,100,2,0.001,GCN,0.10794013738632202,0.1093759536743164,0.6793333333333333
False,16,100,2,0.001,FairMP_GCN,0.003902614116668701,0.0016723275184631348,0.7905
False,16,100,2,0.01,GCN,0.038125693798065186,0.02942788600921631,0.795
False,16,100,2,0.01,FairMP_GCN,0.000392913818359375,0.0009388327598571777,0.7893333333333333
False,16,100,2,0.1,GCN,0.0,0.0,0.789
False,16,100,2,0.1,FairMP_GCN,0.014141499996185303,0.014457762241363525,0.7881666666666667
False,16,100,4,0.001,GCN,0.0009425878524780273,0.008292138576507568,0.7565
False,16,100,4,0.001,FairMP_GCN,0.00012105703353881836,0.0006003379821777344,0.7893333333333333
False,16,100,4,0.01,GCN,0.002233147621154785,0.0021953582763671875,0.7871666666666667
False,16,100,4,0.01,FairMP_GCN,0.07826799154281616,0.07635259628295898,0.7871666666666667
False,16,100,4,0.1,GCN,0.0,0.0,0.789
False,16,100,4,0.1,FairMP_GCN,0.0015391111373901367,0.0007894039154052734,0.7895
False,16,200,2,0.001,GCN,0.10982602834701538,0.10892093181610107,0.6583333333333333
False,16,200,2,0.001,FairMP_GCN,0.0008879303932189941,3.516674041748047e-05,0.7898333333333334
False,16,200,2,0.01,GCN,0.06517243385314941,0.047307491302490234,0.532
False,16,200,2,0.01,FairMP_GCN,0.01803910732269287,0.013708114624023438,0.7893333333333333
False,16,200,2,0.1,GCN,0.0,0.0,0.789
False,16,200,2,0.1,FairMP_GCN,0.01940000057220459,0.013339042663574219,0.7896666666666666
False,16,200,4,0.001,GCN,0.09083640575408936,0.06599944829940796,0.7358333333333333
False,16,200,4,0.001,FairMP_GCN,0.0004997849464416504,2.384185791015625e-06,0.789
False,16,200,4,0.01,GCN,0.002139747142791748,0.0017006993293762207,0.7958333333333333
False,16,200,4,0.01,FairMP_GCN,0.05782043933868408,0.05900806188583374,0.7873333333333333
False,16,200,4,0.1,GCN,0.0,0.0,0.789
False,16,200,4,0.1,FairMP_GCN,0.038219153881073,0.025610625743865967,0.7911666666666667
False,16,500,2,0.001,GCN,0.017319798469543457,0.00554734468460083,0.7396666666666667
False,16,500,2,0.001,FairMP_GCN,0.040293216705322266,0.04216349124908447,0.7878333333333334
False,16,500,2,0.01,GCN,0.021091222763061523,0.010024964809417725,0.7961666666666667
False,16,500,2,0.01,FairMP_GCN,0.012937664985656738,0.0070493221282958984,0.7916666666666666
False,16,500,2,0.1,GCN,0.0,0.0,0.789
False,16,500,2,0.1,FairMP_GCN,0.007225692272186279,0.002690732479095459,0.7921666666666667
False,16,500,4,0.001,GCN,0.053492069244384766,0.025674521923065186,0.8018333333333333
False,16,500,4,0.001,FairMP_GCN,0.033154964447021484,0.03398621082305908,0.7876666666666666
False,16,500,4,0.01,GCN,0.024265170097351074,0.010768413543701172,0.7968333333333333
False,16,500,4,0.01,FairMP_GCN,0.0026324987411499023,0.0016723275184631348,0.7895
False,16,500,4,0.1,GCN,0.0,0.0,0.789
False,16,500,4,0.1,FairMP_GCN,0.0743095874786377,0.048025310039520264,0.8
False,32,50,2,0.001,GCN,0.016871511936187744,0.0178525447845459,0.7588333333333334
False,32,50,2,0.001,FairMP_GCN,0.2366076111793518,0.2565845847129822,0.5885
False,32,50,2,0.01,GCN,0.009001374244689941,0.005365490913391113,0.7908333333333334
False,32,50,2,0.01,FairMP_GCN,0.0033597946166992188,0.001807868480682373,0.7895
False,32,50,2,0.1,GCN,0.0,0.0,0.789
False,32,50,2,0.1,FairMP_GCN,0.17663496732711792,0.1736794114112854,0.7836666666666666
False,32,50,4,0.001,GCN,0.060671210289001465,0.06160938739776611,0.5948333333333333
False,32,50,4,0.001,FairMP_GCN,0.17215272784233093,0.17142976820468903,0.27116666666666667
False,32,50,4,0.01,GCN,0.001814424991607666,0.0012075304985046387,0.7905
False,32,50,4,0.01,FairMP_GCN,0.0006175637245178223,0.00013774633407592773,0.7893333333333333
False,32,50,4,0.1,GCN,0.0,0.0,0.789
