Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,32,100,4,0.1,Fair_Attention_MP_GCN,0.004347801208496094,0.004007995128631592,0.695
False,32,200,2,0.001,GAT,0.0,0.0,0.695
False,32,200,2,0.001,Fair_Attention_MP_GCN,0.005142569541931152,0.00893324613571167,0.595
False,32,200,2,0.01,GAT,0.02127164602279663,0.016440868377685547,0.71
False,32,200,2,0.01,Fair_Attention_MP_GCN,0.030387938022613525,0.016241371631622314,0.7
False,32,200,2,0.1,GAT,0.0,0.0,0.695
False,32,200,2,0.1,Fair_Attention_MP_GCN,0.006451606750488281,0.00497514009475708,0.695
False,32,200,4,0.001,GAT,0.0,0.0,0.695
False,32,200,4,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,32,200,4,0.01,GAT,0.0032258033752441406,0.0,0.695
False,32,200,4,0.01,Fair_Attention_MP_GCN,0.020243048667907715,0.006221354007720947,0.695
False,32,200,4,0.1,GAT,0.0,0.0,0.695
False,32,200,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,32,500,2,0.001,GAT,0.0032258033752441406,0.0,0.695
False,32,500,2,0.001,Fair_Attention_MP_GCN,0.07297807931900024,0.0683855414390564,0.575
False,32,500,2,0.01,GAT,0.017438113689422607,0.014855623245239258,0.695
False,32,500,2,0.01,Fair_Attention_MP_GCN,0.004815280437469482,0.003938257694244385,0.7
False,32,500,2,0.1,GAT,0.0,0.0,0.695
False,32,500,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,32,500,4,0.001,GAT,0.0,0.0,0.695
False,32,500,4,0.001,Fair_Attention_MP_GCN,0.014960229396820068,6.973743438720703e-05,0.71
False,32,500,4,0.01,GAT,0.0,0.0,0.695
False,32,500,4,0.01,Fair_Attention_MP_GCN,0.011453986167907715,0.012921452522277832,0.685
False,32,500,4,0.1,GAT,0.0,0.0,0.695
False,32,500,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,64,50,2,0.001,GAT,0.0,0.0,0.695
False,64,50,2,0.001,Fair_Attention_MP_GCN,0.024637669324874878,0.02345985174179077,0.585
False,64,50,2,0.01,GAT,0.0,0.0,0.695
False,64,50,2,0.01,Fair_Attention_MP_GCN,0.00037401914596557617,0.0367700457572937,0.665
False,64,50,2,0.1,GAT,0.013090252876281738,0.0035593509674072266,0.525
False,64,50,2,0.1,Fair_Attention_MP_GCN,0.015941977500915527,0.018036067485809326,0.675
False,64,50,4,0.001,GAT,0.0,0.0,0.695
False,64,50,4,0.001,Fair_Attention_MP_GCN,0.010191679000854492,0.004416793584823608,0.35
False,64,50,4,0.01,GAT,0.0,0.0,0.695
False,64,50,4,0.01,Fair_Attention_MP_GCN,0.012061715126037598,0.005044877529144287,0.71
False,64,50,4,0.1,GAT,0.001776576042175293,0.002003967761993408,0.695
False,64,50,4,0.1,Fair_Attention_MP_GCN,0.11318367719650269,0.1479775309562683,0.465
False,64,100,2,0.001,GAT,0.001776576042175293,0.002003967761993408,0.695
False,64,100,2,0.001,Fair_Attention_MP_GCN,0.04862082004547119,0.06579327583312988,0.595
False,64,100,2,0.01,GAT,0.0,0.0,0.695
False,64,100,2,0.01,Fair_Attention_MP_GCN,0.0173913836479187,0.0033799409866333008,0.66
False,64,100,2,0.1,GAT,0.0,0.0,0.695
False,64,100,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,64,100,4,0.001,GAT,0.0,0.0,0.695
False,64,100,4,0.001,Fair_Attention_MP_GCN,0.004534900188446045,0.00035887956619262695,0.625
False,64,100,4,0.01,GAT,0.07985040545463562,0.05551403760910034,0.43
False,64,100,4,0.01,Fair_Attention_MP_GCN,0.002711474895477295,0.003938257694244385,0.71
False,64,100,4,0.1,GAT,0.0,0.0,0.695
False,64,100,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,64,200,2,0.001,GAT,0.0,0.0,0.695
False,64,200,2,0.001,Fair_Attention_MP_GCN,0.06816262006759644,0.09006071090698242,0.52
False,64,200,2,0.01,GAT,0.0,0.0,0.695
False,64,200,2,0.01,Fair_Attention_MP_GCN,0.00691908597946167,0.0010368824005126953,0.7
False,64,200,2,0.1,GAT,0.0032258033752441406,0.0,0.695
False,64,200,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,64,200,4,0.001,GAT,0.0032258033752441406,0.0,0.695
False,64,200,4,0.001,Fair_Attention_MP_GCN,0.0028985142707824707,0.002003967761993408,0.69
False,64,200,4,0.01,GAT,0.0,0.0,0.695
False,64,200,4,0.01,Fair_Attention_MP_GCN,0.009069740772247314,0.01582270860671997,0.685
False,64,200,4,0.1,GAT,0.0,0.0,0.695
False,64,200,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,64,500,2,0.001,GAT,0.0032258033752441406,0.0,0.695
False,64,500,2,0.001,Fair_Attention_MP_GCN,0.0022439956665039062,0.005044877529144287,0.695
False,64,500,2,0.01,GAT,0.0032258033752441406,0.0,0.695
False,64,500,2,0.01,Fair_Attention_MP_GCN,0.005469799041748047,0.0009671449661254883,0.705
False,64,500,2,0.1,GAT,0.0,0.0,0.695
False,64,500,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,64,500,4,0.001,GAT,0.01467984914779663,0.01492542028427124,0.69
False,64,500,4,0.001,Fair_Attention_MP_GCN,0.004488050937652588,0.003110647201538086,0.685
False,64,500,4,0.01,GAT,0.0032258033752441406,0.0,0.695
False,64,500,4,0.01,Fair_Attention_MP_GCN,0.0028985142707824707,0.002003967761993408,0.695
False,64,500,4,0.1,GAT,0.0,0.0,0.695
False,64,500,4,0.1,Fair_Attention_MP_GCN,0.03487604856491089,0.02135610580444336,0.685
